kcc_call_id,CreatedOn,state_name,DISTRICT,block,Sector,category,CROP,season,query_type,QueryText,kcc_answer
5074467,2025-07-29T19:49:13.117,TELANGANA,KAMAREDDY,Pedda Kodapgal,,Millets,NA,,Market Information,Farmer asked query on Mandi details,"MAIZE                                                      గరిష్ట                   కనిష్ట                  మోడల్
నిజామాబాద్ 28-07-2025                            2,259                    2,259                2,259"
5072089,2025-07-29T19:42:29.22,TELANGANA,KAMAREDDY,Pedda Kodapgal,,Cereals,NA,NA,Field Preparation,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
తుంపర్లు పడే అవకాశం ఉంది."
5073136,2025-07-29T19:24:24.097,TELANGANA,KAMAREDDY,Gandhari,NA,Millets,,NA,Weather,,"CLOUDY WEATHER, THERE IS NO  CHANCE OF  SHOWERS IN YOUR AREA
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం పడే అవకాశం లేదు."
5072484,2025-07-29T18:25:03.827,TELANGANA,WARANGAL,Parvathagiri,NA,Fiber Crops,NA,NA,"Water Management, Micro Irrigation",,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
5073141,2025-07-29T18:23:09.663,TELANGANA,WARANGAL,NA,NA,Cereals,NA,NA,Weather,Farmer asked query on Weather,"--మీ ప్రాంతం లో ఈ రోజు వాతావరణం మబ్బులుగా ఉంటుంది, జల్లులు  పడే అవకాశం ఉంది."
5072487,2025-07-29T18:00:51.14,TELANGANA,KAMAREDDY,Pedda Kodapgal,NA,Oilseeds,NA,NA,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
5074822,,TELANGANA,WARANGAL RURAL,Sangem,NA,NA,,,,paddy  weed management ;-,no weedicide recommended to spray in this crop stage
5073156,2025-07-29T16:50:05.147,TELANGANA,NIRMAL,,,Fiber Crops,,NA,Weather,Farmer asked query on Weather,"మీ ప్రాంతం లో ఈ రోజు వాతావరణం మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం ఉంది."
5077407,2025-07-29T15:27:20.12,TELANGANA,NIRMAL,Narsapur G,,,,,NA,FARMER ASKED QUERY ABOUT FERTILIZER MANAGEMENT IN TURMERIC,
5071069,2025-07-29T14:57:01.667,TELANGANA,NIRMAL,Sarangapur,NA,NA,,,NA,Pradhan Mantri Kisan Samman Nidhi ;-,Pradhan Mantri Kisan Samman Nidhi ;- AUGUST 1ST WEEK
5075271,2025-07-29T14:21:12.017,TELANGANA,WARANGAL,Chennaraopet,,NA,,,,COTTON  SUCKING PEST MANAGEMENT ;-,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS +  MONOCROTOPHOS 320 ML /200 LITRES OF WATER /ACRE
5072500,2025-07-29T13:52:06.647,TELANGANA,WARANGAL,Raiparthy,NA,Fiber Crops,,NA,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం కలదు.
5072720,2025-07-29T13:44:58.903,TELANGANA,KAMAREDDY,Madnur,NA,Oilseeds,NA,NA,Plant Protection,Farmer asked query on Weather,
5072721,2025-07-29T13:42:23.81,TELANGANA,KAMAREDDY,Madnur,NA,Oilseeds,NA,NA,Plant Protection,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది .జల్లులు పడే అవకాశం ఉంది
,2025-07-29T13:38:24.303,TELANGANA,KAMAREDDY,Gandhari,,Fiber Crops,NA,NA,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం కలదు.
5076334,2025-07-29T13:38:14.34,TELANGANA,KAMAREDDY,Ramareddy,,,,NA,NA,,"RECOMMENDED TO SPRAY BISPYRIBAC SODIUM (NOMINI GOLD) 80-100 ML/200 LITRES OF WATER PER ACRE 
బిస్ పైరిబాక్ సోడియం (నామినీ గోల్డ్) 80-100  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి"
5073118,2025-07-29T12:04:25.42,TELANGANA,WARANGAL,Khanapur,,Cereals,,NA,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5075266,2025-07-29T11:30:21.67,TELANGANA,KAMAREDDY,Pedda Kodapgal,,NA,NA,NA,NA,FARMER ASKED QUERY ABOUT APHIDS MANAGEMENT IN COTTON?,ఇమిడాక్లోప్రిడ్  60 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
5072498,2025-07-29T11:27:13.237,TELANGANA,KAMAREDDY,Pedda Kodapgal,,Cereals,NA,,"Water Management, Micro Irrigation",Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
5072712,2025-07-29T10:15:35.253,TELANGANA,KAMAREDDY,Madnur,NA,Oilseeds,NA,NA,Plant Protection,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం కలదు.
5076364,2025-07-29T09:19:29.857,TELANGANA,KAMAREDDY,Ramareddy,NA,NA,NA,NA,,farmer asked query about on fertilizer management in paddy?,"-PADDY :
దమ్ములో : యూరియా 25-30 కే/ఏ ,సింగిల్ సూపర్ ఫాస్ఫేట్ 150 కే/ఏ , మ్యూరేట్ ఆఫ్ పొటాష్ 15 కే/ఏ 
దుబ్బు  చేసేటప్పుడు  : యూరియా 25-30 కే/ఏ  (20 - 25 రోజులకు)
అంకురందశలో: యూరియా 25-30 కే/ఏ , మ్యూరేట్ ఆఫ్ పొటాష్ 15 కే/ఏ (60 - 65 రోజులకు)"
5075274,2025-07-29T09:18:07.977,TELANGANA,KAMAREDDY,Ramareddy,,,,NA,NA,farmer asked query about on stem borer management in paddy?,"-RECOMMENDED TO APPLY CARTAP HYDROCHLORIDE  4G  GRANULES  8 KG / ACRE   
కార్టాప్ హైడ్రోక్లోరైడ్ 4 జి గుళికలు   8 కిలోలు  / ఒక ఎకరాకు వేసుకోవాలి"
5072475,2025-07-29T08:45:31.14,TELANGANA,KAMAREDDY,Pitlam,NA,Cereals,NA,,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం కలదు.
,2025-07-29T08:38:34.107,TELANGANA,KAMAREDDY,Pitlam,NA,Cereals,NA,NA,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5073126,2025-07-29T08:17:17.463,TELANGANA,KAMAREDDY,NA,,Cereals,NA,NA,Weather,Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది"
5077408,2025-07-29T08:02:02.067,TELANGANA,WARANGAL,Duggondi,,NA,NA,NA,,QUERY ON NUTRIENT MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY 13-0-45 1 KG + BORON 600 GRAMS IN 200 LITER WATER PER ACRE
ఎకరానికి 200 లీటర్ల నీటిలో 13-0-45 1 కేజీ + బోరాన్ 600 గ్రాములు కలిపి పిచికారీ చేయండి"
5075277,2025-07-29T08:01:16.317,TELANGANA,WARANGAL,Duggondi,,,NA,NA,NA,QUERY ON SUCKING PEST MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY DIFENTHIURON (PEGASUS) 240 GM /200 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ (పెగాసస్) 240 గ్రాములు /200 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి"
5073155,2025-07-29T07:59:40.213,TELANGANA,NIRMAL,Tanur,,Fiber Crops,NA,NA,Weather,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది."
5073144,2025-07-29T07:50:34.14,TELANGANA,KAMAREDDY,Gandhari,NA,Fiber Crops,,NA,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5073160,2025-07-29T07:41:17.967,,KAMAREDDY,Pedda Kodapgal,,Fiber Crops,NA,,Weather,Farmer asked query on Weather,
5030297,,TELANGANA,KAMAREDDY,Banswada,10712,Cereals,,NA,Nutrient Deficiency/Excessiveness Management,FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN PADDY,"పైరుపై జింకు లోపం కనిపించగానే లీటరు నీటికి 2 గ్రా, జింకు సల్ఫేట్ చొప్పున కలిపి 5 రోజుల వ్యవధిలో 2,3 సార్లు పిచికారి చేయాలి. జింకు సల్ఫేట్ ద్రావణంలో పురుగు/తెగుళ్ళ మందులను కలుపరాదు. చౌడు నేలల్లో పిచికారి తప్పనిసరి."
5030298,2025-07-28T19:48:05.42,TELANGANA,KAMAREDDY,Banswada,10712,Cereals,,NA,Nutrient Deficiency/Excessiveness Management,,
5030286,2025-07-28T19:06:00.363,TELANGANA,WARANGAL,Raiparthy,10717,Fiber Crop,262,NA,Insect Management,Thrips and aphids in cotton,"RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  /200 LITRES OF WATER /ACRE 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి"
5030287,2025-07-28T19:04:18.75,TELANGANA,WARANGAL,Raiparthy,,Cereals,262,NA,Insect Management,Stem borer in paddy,
5025946,2025-07-28T18:59:48.82,TELANGANA,WARANGAL,Raiparthy,2771,Others,257,,"Water Management, Micro Irrigation",Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 

మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు."
5025888,,TELANGANA,KAMAREDDY,Pedda Kodapgal,11177,Sub - Tropical Fruits,265,,Pathogenic Disease Management,Root rot in mosambi,"--RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER 
కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి ."
5016859,2025-07-28T18:53:08.64,TELANGANA,WARANGAL RURAL,Geesugonda,10709,Cereals,262,NA,Insect Management,farmer asked query about stem borer management in maize,ఒక లీటరు నీటిలో కలిపి పిచికారి చేయాలి. 25-30 రోజుల పైరులో కార్బోప్యూరాన్ 3 జి గుళికలను ఎకరానికి 3 కిలోలు ఆకుల సుడులలో వేయాలి.
5016858,2025-07-28T18:50:37.943,TELANGANA,WARANGAL RURAL,Geesugonda,10717,Fiber Crop,262,NA,NA (Not Applicable),farmer asked query about weed management in cotton,"ప్రత్తిలో మొదటి దశలో (అనగా విత్తిన నెలలోపు) వచ్చు కలుపు నివారణ: ప్రత్తిని విత్తే 3-5 రోజుల ముందు ప్లూక్లోరాలిన్ 45% మందును ఎకరాకు 1 లీటరు చొప్పున చివరి దుక్కిలో పిచికారి చేసి భూమిలో కలియదున్నాలి లేదా విత్తనం వేసిన 24-48 గంటలలోపు పెండిమిథాలిన్ అనే కలుపు మందును ఎకరాకు 1.2 లీటరు చొప్పున 200 లీటర్ల నీటిలో- లీటరు నీటికి 6 మి.లీ. చొప్పున కలిపి చేతి పంపుతో చేనంతా సమంగా తడిచేటట్టు పిచికారి చేయాలి. భూమిలో సరియైన పదును/తేమ ఉన్నప్పుడే పిచికారి చేసిన గడ్డి మందు చాలా సమర్థవంతంగా పనిచేసి, కలుపును నివారిస్తుంది.

ప్రత్తి మొలకెత్తిన నెల రోజులకు చేనులో వచ్చు లేత గడ్డి మరియు వెడల్పాకు గల కలుపు నివారణకు – క్వాజలోఫాస్ ఇధైల్ (టర్గా సూపర్) 400 మి.లీ. లేదా ప్రోపాక్విజాఓఫాస్ (ఎజిల్) 250 మి.లీ. మరియు పైరిథయోబ్యాక్ సోడియం (హిట్ వీడ్/థీమ్/ రైఫ్) 250 మి.లీ. 200 లీటర్ల నీటిలో కలిరి రిచికారి చేయాలి."
5026045,2025-07-28T18:08:40.37,TELANGANA,WARANGAL,Raiparthy,2771,Others,257,,"Water Management, Micro Irrigation",Farmer asked query on Weather,
5025940,2025-07-28T18:08:18.97,TELANGANA,WARANGAL,Nalla Belli,1866,Fiber Crops,257,,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5025969,2025-07-28T18:03:38.493,TELANGANA,KAMAREDDY,Lingampet,7177,Cereals,257,,"Water Management, Micro Irrigation",,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5025934,2025-07-28T17:23:43.427,TELANGANA,WARANGAL,Wardhanna Pet,2771,Others,257,,Weather,Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 

మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు."
5025729,2025-07-28T16:27:41.92,TELANGANA,WARANGAL,Dharmasagar,10717,Fiber Crop,262,,Insect Management,Aphids in cotton,"--RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  /200 LITRES OF WATER /ACRE 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి"
5025728,2025-07-28T16:25:08.073,TELANGANA,WARANGAL,Dharmasagar,10717,Fiber Crop,262,NA,Insect Management,Aphids in cotton,
5025956,2025-07-28T15:50:54.97,TELANGANA,WARANGAL RURAL,7918,1866,Fiber Crops,257,NA,Plant Protection,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
5025901,2025-07-28T15:49:28.57,TELANGANA,NIRMAL,Bhainsa,11090,Bulb Vegetable Crops,265,NA,Insect Management,onion thrips management ;-,RECOMMENDED TO SPRAY  FIPRONIL   400 ML / 200 LITRES OF WATER /ACRE
5025955,2025-07-28T15:49:01.563,TELANGANA,WARANGAL RURAL,7918,10717,Fiber Crop,262,,Insect Management,FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT IN COTTON,పురుగుమందు వేసిన తర్వాత ఫలితం కోసం 2-3 రోజులు వేచి ఉండటం మంచిది.
5025900,2025-07-28T15:48:28.013,TELANGANA,NIRMAL,Bhainsa,1068,Oilseeds,257,NA,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5025831,2025-07-28T15:29:18.447,TELANGANA,KAMAREDDY,Sadasivanagar,10749,Oilseeds,262,,Pathogenic Disease Management,soybean  root rot masnagement ;-,RECOMMENDED TO DRENCH COPPER OXYCHLORIDE 3 GRAMS / 1 LITRE OF WATER
5025966,2025-07-28T15:19:12.573,TELANGANA,KAMAREDDY,Madnur,10709,Cereals,262,NA,Field Preparation,maize weed management ;-,"RECOMMENDED TO SPRAY 2, 4 D SODIUM SALT 500  GRAMS /200 LITRES OF WATER PER ACRE"
5025868,2025-07-28T15:15:54.523,TELANGANA,WARANGAL,Geesugonda,10717,Fiber Crop,262,NA,Nutrient Deficiency/Excessiveness Management,FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY AGROMINIMAX 600 GRAMS / 200 LITER OF WATER 
అగ్రోమింమాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి (3 GM / 1 LITER OF WATER) 

RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE 5 GRAMS/ LITRE OF WATER 
NPK 19-19-19  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి"
5025963,2025-07-28T15:15:27.803,TELANGANA,,Madnur,1068,Oilseeds,257,,"Water Management, Micro Irrigation",Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు.
5025964,2025-07-28T15:14:07.543,TELANGANA,KAMAREDDY,Madnur,11212,Tropical Fruits,265,NA,Field Preparation,papaya uncultivated land   weed management ;-,RECOMMENDED TO SPRAY PARAQUAT   1 LITRE /  200 LITRES OF WATER PER ACRE
5025866,,TELANGANA,WARANGAL,,10717,Fiber Crop,262,NA,Insect Management,FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY FIPRONIL (REGENT) 400 ML / 200 LITRES OF WATER /ACRE  
ఫిప్రోనిల్ (రీజెంట్) 400  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి"
5025869,2025-07-28T15:13:04.603,TELANGANA,WARANGAL,Geesugonda,1866,Fiber Crops,257,NA,Plant Protection,Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
5025965,2025-07-28T15:13:01.717,TELANGANA,KAMAREDDY,Madnur,10709,Cereals,262,NA,Insect Management,maize stem borer management ;-,RECOMMENDED TO SPRAY CHLORANTRANILIPROLE  60 ML/150 LITRES OF WATER / ACRE
5025719,2025-07-28T15:04:16.57,TELANGANA,NIRMAL,Laxmanchanda,10712,Cereals,262,NA,NA (Not Applicable),FARMER ASKED QUERY ON CONTACT DETAILS OF WEED RESEARCH GUNTUR,"REGIONAL AGRICULTURAL  RESEARCH STATION,LAM FARM ,GUNTUR: 08632524009,9989623806"
5025953,2025-07-28T14:23:21.607,TELANGANA,WARANGAL,Parvathagiri,2771,Others,257,NA,,Farmer asked query on Weather,"--THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 

మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది."
5026002,2025-07-28T13:42:49.537,TELANGANA,KAMAREDDY,Pedda Kodapgal,10717,Fiber Crop,262,NA,Insect Management,,ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి.
5026008,2025-07-28T13:41:31.987,TELANGANA,KAMAREDDY,Pedda Kodapgal,7186,Millets,257,NA,Weather,,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది .జల్లులు పడే అవకాశం ఉంది
5025874,2025-07-28T13:41:08.197,TELANGANA,WARANGAL,Elkathurthi,10779,Asiatic Poultry Breed,263,,NA (Not Applicable),BOOKING OF CHCKS INFORMATION,"The Director, 
ICAR-Directorate of Poultry Research
Rajendranagar, Hyderabad 500 030,
Telangana, India Ph: Office: +91-40-24015650 ; Booking of Chicks: +91-40-24018687,"
5025826,2025-07-28T13:29:21.717,TELANGANA,WARANGAL,Raiparthy,1866,Fiber Crops,257,,,Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
5026055,2025-07-28T13:22:11.227,TELANGANA,WARANGAL,8018,10709,,262,NA,NA (Not Applicable),"market price of maize ,cotton","cotton

Sl no.	District Name	Market Name	Commodity	Variety	Grade	Min Price (Rs./Quintal)	Max Price (Rs./Quintal)	Modal Price (Rs./Quintal)	Price Date
1	Karimnagar	Jammikunta	Cotton	Cotton (Unginned)	FAQ	7600	7600	7600	28 Jul 2025
maize :
-Medak	Gajwel	Maize	Deshi Red	FAQ	2000	2200	2100	28 Jul 2025	Karimnagar	Husnabad	                Maize	Medium	Non-FAQ	2225	2300	2260	28 Jul 2025"
5025840,2025-07-28T13:21:03.17,TELANGANA,NIRMAL,Sarangapur,10717,Fiber Crop,262,NA,Insect Management,SUCKING PEST MANAGEMENT IN COTTON,థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి .
5025912,,TELANGANA,WARANGAL,Narsampet,10709,Cereals,262,NA,NA (Not Applicable),WEED MANAGEMENT IN MAIZE SOWN AFTER  15-20 DAYS CROP,టెంబోట్రయోన్ 115 మిల్లి లీటర్లు + అట్రజిన్ 400గ్రాములు/200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి.
5025844,2025-07-28T13:11:35.72,TELANGANA,NIRMAL,Sarangapur,10717,Fiber Crop,262,NA,Insect Management,INCOMPLETE CALL,INCOMPLETE CALL
5026005,2025-07-28T12:52:26.447,TELANGANA,NIRMAL,Bhainsa,1866,Fiber Crops,257,NA,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది .జల్లులు పడే అవకాశం ఉంది
5026007,2025-07-28T12:00:41.233,TELANGANA,KAMAREDDY,7989,2771,Others,257,NA,Weather,Farmer asked query on Weather,--మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
5025861,2025-07-28T11:16:46.987,TELANGANA,NIRMAL,Tanur,1068,Oilseeds,257,,Weed Management,,"MANUAL WEEDING IS RECOMMENDED

కూలీల సహాయంతో కలుపు తీయండి."
5025862,2025-07-28T11:16:19.18,TELANGANA,NIRMAL,Tanur,1068,Oilseeds,257,,Nutrient Management,,"RECOMMENDED TO SPRAY 19-19-19 1 KG + AGRO MINI MAX 600 GRAMS IN 200 LITER WATER PER ACRE
ఎకరానికి 200 లీటర్ల నీటిలో 19-19-19 1 కేజీ + ఆగ్రో మినీ మ్యాక్స్ 600 గ్రాములు కలిపి పిచికారీ చేయండి"
5025863,2025-07-28T11:13:49.15,TELANGANA,NIRMAL,Tanur,1068,Oilseeds,257,NA,Plant Protection,Farmer asked query on Weather,మీ ప్రాంతములో  వాతావరణం ఎండా మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు
5025907,2025-07-28T11:01:22.28,TELANGANA,KAMAREDDY,,1068,Oilseeds,257,NA,Plant Protection,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం కలదు.
5025899,2025-07-28T10:47:54.38,TELANGANA,NIRMAL,Bhainsa,1866,Fiber Crops,257,NA,Plant Protection,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం కలదు.
